post_id	date	message	num_likes	num_angry	num_shares
96033897836_10158492870367837	2018-10-06T16:00:01+0000	"Um projeto para mudar e unir o Brasil! \ud83d\udc9a\ud83d\udc9b\n\nSe voc\u00ea quer o nosso pa\u00eds pacificado e forte de novo, conhe\u00e7a o plano de governo de Geraldo Alckmin, produzido por algumas das pessoas mais preparadas do Brasil e com sugest\u00f5es que chegaram dos quatro cantos do nosso pa\u00eds. Acesse: \u27a1 http://alckm.in/propostas.\n\nAmanh\u00e3, dia 7 de outubro, v\u00e1 de #Geraldo45! #Vote45\n\n#EquipeGA #GeraldoPresidente #AnaAm\u00e9liaVice"	2304	8	463
96033897836_10158490587077837	2018-10-06T13:00:00+0000	"Quer um bom motivo para votar em Geraldo Alckmin? A gente d\u00e1 45. Conhe\u00e7a e compartilhe com os amigos \u27a1 http://alckm.in/45motivos. O Brasil n\u00e3o pode errar de novo! \ud83d\ude09\n\nDia 7 de outubro, vote #Geraldo45! \ud83d\udc9a\ud83d\udc9b\n#EquipeGA #GeraldoPresidente #AnaAm\u00e9liaVice #Vote45"	1038	2	278
96033897836_10158490770557837	2018-10-05T23:59:28+0000	"Seguran\u00e7a p\u00fablica, com Geraldo Alckmin, ter\u00e1 gest\u00e3o e metas para combater viol\u00eancia e crime organizado.\n\nConhe\u00e7a as principais propostas de #Geraldo45 para seguran\u00e7a p\u00fablica \u27a1 http://alckm.in/planoseguranca e a defesa nacional \u27a1 http://alckm.in/defesanacional. E #Vote45! \n\n#EquipeGA #GeraldoPresidente #AnaAm\u00e9liaVice"	785	6	185
96033897836_10158490733902837	2018-10-05T23:28:54+0000	"Pol\u00edtica social inovadora e totalmente voltada a quem mais precisa! Conhe\u00e7a as principais propostas de #Geraldo45: \u27a1 http://alckm.in/propostas. E #Vote45 #GeraldoPresidente! \ud83d\ude09\n\n#EquipeGA #AnaAm\u00e9liaVice"	1177	7	247
96033897836_10158490236057837	2018-10-05T20:55:21+0000	"Aten\u00e7\u00e3o total \u00e0 sa\u00fade para assegurar a melhoria da nossa qualidade de vida! Conhe\u00e7a as principais propostas de #Geraldo45 para a \u00e1rea: \u27a1 http://alckm.in/planosaude. E #Vote45!\n\n#EquipeGA #GeraldoPresidente #AnaAm\u00e9liaVice"	1032	3	264
96033897836_10158489395027837	2018-10-05T18:00:00+0000	"Para o nosso pa\u00eds voltar a crescer, precisa de investimento. E, para voltar a ter investimento, \u00e9 preciso confian\u00e7a em quem vai comandar o Brasil nos pr\u00f3ximos 4 anos.\n\nConhe\u00e7a as principais propostas de #Geraldo45 para a economia: \u27a1 https://www.geraldoalckmin.com.br/plano-de-governo. E #Vote45! \ud83d\ude09\n\n#EquipeGA #GeraldoPresidente #AnaAm\u00e9liaVice"	991	3	310
96033897836_10158489561707837	2018-10-05T16:29:13+0000	"Hoje estive na Ceasa do Rio de Janeiro para falar com os trabalhadores. N\u00f3s seremos parceiros do empreendedor. Vou investir em infraestrutura para facilitar o transporte de cargas e combaterei os roubos de carga com tecnologia, intelig\u00eancia e endurecimento das puni\u00e7\u00f5es para quem vende produtos roubados. Vou garantir cr\u00e9dito mais f\u00e1cil e a custo mais baixo, criar programas de capacita\u00e7\u00e3o e fazer a economia se recuperar para aumentar poder de compra da popula\u00e7\u00e3o. \u00c9 esse o caminho para gerar muitos empregos!\n\n#Geraldo45 #GeraldoPresidente #AnaAm\u00e9liaVice #BrasilSim"	1094	2	149
96033897836_10158487556837837	2018-10-05T14:48:30+0000	"Educa\u00e7\u00e3o para garantir a igualdade de oportunidades! Conhe\u00e7a as principais propostas de #Geraldo45 para a educa\u00e7\u00e3o: \u27a1 http://alckm.in/planoeduca. \n\n#EquipeGA #GeraldoPresidente #AnaAm\u00e9liaVice"	931	2	275
96033897836_348307899248806	2018-10-05T12:55:57+0000	"Uma das metas de governo de Geraldo Alckmin ser\u00e1 construir 3 milh\u00f5es de moradia no Brasil. Que, por sua vez, gerar\u00e3o 9 milh\u00f5es de empregos na constru\u00e7\u00e3o civil! Al\u00e9m disso, o sal\u00e1rio m\u00ednimo crescer\u00e1 acima da infla\u00e7\u00e3o: Geraldo fez muito por S\u00e3o Paulo, e far\u00e1 ainda mais pelo Brasil! #DebateNaGlobo #Geraldo45 #Vote45"	1283	3	446
96033897836_303848630206654	2018-10-05T03:18:42+0000	"O Brasil n\u00e3o pode passar pela repeti\u00e7\u00e3o do erro dos governos de Dilma e Temer: 13 milh\u00f5es de desempregados, empresas fechadas, sa\u00fade deteriorada, criminalidade em alta. Mas tamb\u00e9m n\u00e3o podemos seguir pelos caminho dos radicais de direita, que n\u00e3o t\u00eam sensibilidade tanto com as mulheres quanto com os trabalhadores amea\u00e7ados pela cria\u00e7\u00e3o de novos impostos. #DebateNaGlobo #Geraldo45 #Vote45"	1555	12	616
