post_id	date	num_likes	num_angry	num_shares
96033897836_10158468711032837	2018-09-29T11:00:01+0000	38	0	7
96033897836_10158468702287837	2018-09-29T11:00:01+0000	38	0	7
96033897836_10158468648997837	2018-09-29T11:00:01+0000	55	0	8
96033897836_10158468751592837	2018-09-29T11:00:01+0000	46	0	7
96033897836_10158468598222837	2018-09-29T11:00:01+0000	55	1	6
96033897836_10158468646002837	2018-09-29T11:00:01+0000	45	3	8
96033897836_10158468635427837	2018-09-29T11:00:01+0000	59	0	7
96033897836_10158468781617837	2018-09-29T11:00:01+0000	63	5	11
96033897836_10158468733312837	2018-09-29T11:00:01+0000	45	0	6
96033897836_10158468730717837	2018-09-29T11:00:01+0000	46	0	5
96033897836_10158468800827837	2018-09-29T11:00:01+0000	58	3	21
96033897836_10158468493577837	2018-09-29T01:39:54+0000	174	18	33
96033897836_10158468488302837	2018-09-29T01:38:31+0000	73	13	11
96033897836_10158468482282837	2018-09-29T01:35:54+0000	68	7	13
96033897836_10158468478097837	2018-09-29T01:33:59+0000	64	10	12
96033897836_10158468475667837	2018-09-29T01:32:51+0000	63	10	16
96033897836_10158468472957837	2018-09-29T01:31:19+0000	55	7	9
96033897836_10158468469762837	2018-09-29T01:30:04+0000	52	3	13
96033897836_10158468460602837	2018-09-29T01:26:10+0000	48	3	11
96033897836_10158468457847837	2018-09-29T01:25:05+0000	47	3	10
96033897836_10158468452607837	2018-09-29T01:23:14+0000	82	5	18
96033897836_10158468446817837	2018-09-29T01:20:13+0000	46	5	16
96033897836_10158468440507837	2018-09-29T01:17:44+0000	66	4	10
96033897836_10158468425607837	2018-09-29T01:09:17+0000	56	2	9
96033897836_10158468400192837	2018-09-29T00:57:59+0000	48	7	11
96033897836_10158468393392837	2018-09-29T00:55:56+0000	81	7	21
96033897836_810544322670532	2018-09-28T23:00:01+0000	1078	6	508
96033897836_1147079882135628	2018-09-28T21:46:42+0000	3235	34	2087
96033897836_902132516649530	2018-09-28T15:44:44+0000	2350	266	722
96033897836_10158464723562837	2018-09-28T12:30:01+0000	828	47	411
96033897836_1912278602160990	2018-09-28T01:11:24+0000	1392	48	351
96033897836_239262223427382	2018-09-27T15:30:00+0000	13527	911	1920
96033897836_2257531031146678	2018-09-27T12:30:00+0000	10034	6299	3234
96033897836_10158461292887837	2018-09-27T00:05:45+0000	2787	47	1125
96033897836_245955526103034	2018-09-26T22:16:32+0000	1437	28	635
96033897836_759425351084999	2018-09-26T21:13:52+0000	2761	28	1458
96033897836_10158459761057837	2018-09-26T16:12:39+0000	1478	22	354
96033897836_685186921859573	2018-09-26T15:11:19+0000	8367	4710	2138
96033897836_10158458204792837	2018-09-26T12:30:00+0000	1114	15	533
96033897836_10158457150732837	2018-09-25T18:05:04+0000	1361	26	646
96033897836_10158456662582837	2018-09-25T15:31:42+0000	542	19	66
96033897836_10158455192902837	2018-09-25T13:30:00+0000	929	11	117
96033897836_539741859811999	2018-09-25T12:00:00+0000	3632	48	1787
96033897836_269826710311581	2018-09-25T02:00:07+0000	12007	3415	4957
96033897836_523505508073892	2018-09-25T00:58:34+0000	278	42	93
96033897836_885486174978037	2018-09-24T22:51:16+0000	6308	675	1600
96033897836_239001463638463	2018-09-24T21:20:58+0000	5270	1514	2253
96033897836_10158453715967837	2018-09-24T18:24:26+0000	1731	12	819
96033897836_733886156970826	2018-09-24T14:10:48+0000	10404	2266	2762
96033897836_10158452830187837	2018-09-24T12:26:18+0000	768	42	117
96033897836_10158450854717837	2018-09-23T22:30:01+0000	1875	23	613
96033897836_10158447676907837	2018-09-23T22:00:01+0000	965	9	393
96033897836_10158450814347837	2018-09-23T19:59:25+0000	1770	16	282
96033897836_255638695143566	2018-09-23T18:00:01+0000	8999	79	3471
96033897836_324813178067683	2018-09-23T15:41:38+0000	3741	315	945
96033897836_336732000395792	2018-09-23T15:21:42+0000	2304	69	740
96033897836_10158449791782837	2018-09-23T14:54:49+0000	1371	11	220
96033897836_599089020505661	2018-09-23T13:51:29+0000	1997	16	557
96033897836_10158447847462837	2018-09-22T23:01:33+0000	1533	36	606
96033897836_1065825833589526	2018-09-22T19:32:09+0000	2446	33	1462
96033897836_347390669337739	2018-09-22T18:44:39+0000	3007	329	832
96033897836_880059912185990	2018-09-22T16:22:28+0000	1631	25	1114
96033897836_488089761672727	2018-09-22T12:13:08+0000	1601	27	558
96033897836_10158445826457837	2018-09-22T12:01:21+0000	5431	72	892
96033897836_10158445823137837	2018-09-22T12:00:44+0000	1579	19	301
