post_id	date	message	num_likes	num_angry	num_shares
126351747376464_2281113441900273	2018-12-15T17:10:59+0000	"esses sao alguns dos pensadores que eu leio e me inspiro no dia a dia. e quais as suas referencias?"	1417	2	136
126351747376464_2279839572027660	2018-12-14T20:14:53+0000	"se o presidente eleito passou a atacar o ibama em razao da experiencia de praticar uma contravencao ao pescar em uma unidade de conservacao e ser multado, ele deveria reconhecer que de fato os fiscais sao eficientes."	1791	10	602
126351747376464_2277015948976689	2018-12-12T19:56:09+0000	"condeno veementemente a manobra que senadores e deputados membros da comissao mista fizeram ao tratar da mp 852, que diz respeito a transferencia de imoveis para uniao, inserindo uma proposta infame de reducao de tres importantissimas unidades de conservacao federal: o parque e a floresta nacional de brasilia, que protegem importantissimos mananciais de agua para a capital, alem do entorno e o parque nacional de sao joaquim, que protege um dos ultimos fragmentos relevantes de mata atlantica com floresta de araucaria. quase no fim dos seus mandatos, esse tipo de artimanha dos parlamentares desrespeita o cidadao, fere a constituicao e avilta a democracia."	983	513	1553
126351747376464_2273942979283986	2018-12-10T20:54:38+0000	"o destaque da diplomacao de bolsonaro coube a presidente do tse, ministra rosa weber."	1720	14	188
126351747376464_2272428806102070	2018-12-09T19:59:34+0000	"e com enorme tristeza e pesar que recebi a noticia do falecimento do nosso companheiro de luta e de paz julio surui, da rede em rondonia. que deus conforte toda a familia e amigos e que o legado de julio, nas acoes e ideias, possa inspirar todas as geracoes do povo surui."	372	0	59
126351747376464_2269728406372110	2018-12-08T12:50:25+0000	"na republica, cumpre-se a lei."	2404	4	750
126351747376464_2267868519891432	2018-12-06T20:21:18+0000	"o #tbt de hoje e uma homenagem a cultura indigena brasileira que infelizmente encontra-se ameacada por uma visao retrograda que permeia a maioria do futuro governo. essa logica de assimilacao de querer transformar os indios igual aos brancos ou elimina-los e um sinal claro de negacao do processo civilizatorio de respeito a diferenca."	830	2	215
126351747376464_2266357523375865	2018-12-05T18:26:51+0000	"54,8 milhoes de brasileiros viverem com menos de r$ 406 por mes deve envergonhar e indignar a todos nos. o combate as desigualdades tem que ser uma bandeira que una todos os partidos, governo e oposicao, progressistas e conservadores, empresarios e trabalhadores."	1601	29	881
126351747376464_2263575813654036	2018-12-03T22:51:09+0000	"extinguir o ministerio do trabalho pode enfraquecer ainda mais direitos garantidos por lei e fragilizar a fiscalizacao de infracoes contra a legislacao trabalhista. querem menos direitos na area ambiental e pelo visto ampliar a logica para o mundo do trabalho. nem parece que temos 13 milhoes de pessoas sofrendo com a chaga do desemprego no pais."	1573	368	689
126351747376464_2260002637344687	2018-12-01T16:10:07+0000	"esses sao livros que me inspiram e me fazem refletir continuamente. e voces, quais livros servem de inspiracao e o que estao lendo?"	632	0	82
126351747376464_2258824250795859	2018-11-30T22:39:01+0000	"voce se incomoda com 1% da populacao mundial concentrar dois tercos de toda a riqueza do planeta? assine a carta aberta aos lideres do g20 por uma economia de impacto global que reduza as desigualdades: #globalimpacteconomy #sistemab"	339	0	73
126351747376464_2258763314135286	2018-11-30T21:34:16+0000	"o presidente eleito mostra mais uma vez o profundo desconhecimento e insensibilidade com os povos indigenas. o modo de vida das populacoes indigenas precisa ser respeitado na sua singularidade, como previsto na constituicao que bolsonaro diz defender. lamentavel!"	4637	2025	3093
126351747376464_2258629670815317	2018-11-30T19:15:53+0000	"essa decisao do supremo, que ainda nao se consumou mas dificilmente sera revertida, nos obriga a refletir sobre o indulto. segundo o supremo, nao ha freios ao ato do presidente. nenhum. nada o impede de dar indulto a todos os condenados do pais, a nao ser o julgamento publico, reforcando a sua origem absolutista que remonta a idade media.  o conceito de harmonia entre os poderes, com limites e contrapesos entre eles, caracteristico dos estados modernos, nao esta sendo considerado. o principio da moralidade, que orienta os atos da administracao publica, foi colocado a margem. no indulto, o presidente e o rei.  sera que esse carater que esta sendo concedido ao indulto pelo supremo e compativel com o estado democratico de direito?"	950	213	403
126351747376464_2255683947776556	2018-11-28T19:36:00+0000	"a desistencia do brasil em sediar a conferencia do clima da onu em 2019 (cop25) da uma sinalizacao do descaso que o proximo governo tera com a agenda multilateral sobre meio ambiente. infelizmente, depois de decadas de protagonismo, o pais agora caminha para tras."	2701	660	2563
126351747376464_2253699411308343	2018-11-27T12:06:24+0000	"temer sancionou o aumento dos salarios dos juizes do stf, apesar da indicacao de veto da area tecnica. o impacto estimado de 4 bilhoes e o preco da irresponsabilidade, ainda mais em um cenario de grave crise fiscal e milhoes de desempregados no pais. uma grande contradicao!"	1262	717	1059
126351747376464_2252971514714466	2018-11-26T22:04:52+0000	"estou em santiago do chile para participar da conferencia internacional sobre o \"estado da democracia na america latina\", com os ex-presidentes ricardo lagos (chile), laura chinchilla (costa rica), luis alberto lacalle (uruguai) e outras autoridades da regiao, alicia barcena (secretaria executiva da cepal/onu), daniel zovatto (diretor regional da america latina e caribe - idea internacional), sergio bitar (membro do conselho de assessores - idea internacional), gonzalo blumel (ministro da secretaria geral da presidencia do chile). a democracia trava uma luta de vida e morte contra antigas e novas formas de autoritarismo. devemos convocar a todos ao esforco de manter acesa a chama da democracia."	1566	4	377
126351747376464_2252586958086255	2018-11-26T16:02:51+0000	"venho alertando desde 2012, quando mudancas inaceitaveis foram aprovadas no codigo florestal, que o desmatamento da amazonia voltaria a crescer, jogando por terra uma decada de esforcos. tudo indica que essa historia pode piorar muito no novo governo. nao podemos deixar! de 2012 ate 2018, perdemos cerca de 4 milhoes de hectares de floresta que equivale a quase 2 vezes o territorio de sergipe. uma perda inestimavel! sem floresta nao tem chuva e sem chuva nao tem agricultura. destruir a amazonia pelo lucro de alguns anos nao tem logica. os recursos naturais sao a maior riqueza do brasil e um dos mais valiosos passaportes para nosso desenvolvimento no seculo 21. e vamos continuar destruindo?"	1843	227	1476
126351747376464_2247001305311487	2018-11-22T22:27:00+0000	"como professora acredito que e na sala de aula que iniciamos o exercicio da democracia. e preciso defender uma escola democratica e plural, que respeita e valoriza a diversidade de pensamento e visoes de mundo, sem nenhum tipo de proselitismo. o brasil nao tera como alavancar seu desenvolvimento sem priorizar uma educacao de qualidade para todos."	3291	9	585
126351747376464_2245569815454636	2018-11-21T23:40:08+0000	"e a primeira vez que estamos vendo uma visao negacionista coesa dentro do governo eleito. bolsonaro ja falou em sair do acordo de paris, atacou o ibama, icmbio, ameacou acabar com o mma e varios outros absurdos. se ele confirmar o que diz sobre as politicas ambientais, o brasil podera passar grandes vexames internacionais. corremos o risco de ver uma regressao, que e muito pior que um mero retrocesso. o novo governo assume com discurso bastante critico a legislacao ambiental. nunca um governo deu um sinal de que e contra a protecao do meio ambiente. as vezes sao contra na pratica, mas nao dizem. imagina o que pode acontecer quando isso e dito. nao vejo pontos de dialogo desse governo com essa agenda. o cenario e preocupante e de alerta total."	1000	43	444
126351747376464_2243863455625272	2018-11-20T14:19:48+0000	"urgente | em mais uma tentativa de enfraquecer a lei da ficha limpa, o senado pautou para esta terca-feira (20/11), um projeto de lei simples e ardiloso, ja que preve que politicos e gestores condenados antes de 2010 se tornem inelegiveis por apenas tres anos, e nao por oitos anos, como determinou o supremo tribunal federal em 4 de outubro. o projeto de lei do senador dalirio beber (psdb/sc) quer rever a decisao do supremo.   diante desse risco eminente de retrocesso, nosso senador randolfe rodrigues, lider da rede, comecou a recolher assinaturas para derrubar a urgencia em votar o projeto no dia de hoje. sera tambem uma boa oportunidade para que a base de sustentacao do futuro governo bolsonaro, que tem como ministro da justica, o juiz responsavel por uma das maiores contribuicoes dadas contra o uso de dinheiro ilicito para campanhas eleitorais, possa se perfilar contra essa inegavel tentativa de minar a lei da ficha limpa."	2563	933	1815
126351747376464_2243841875627430	2018-11-20T12:49:21+0000	"#consciencianegra | somos o pais que mais teve escravos entre as americas e o que mais demorou para encerrar formalmente esse processo cruel e desumano. o encerramento formal da escravidao em 1888 nao impediu que as suas consequencias se estendessem para marcar a pele dos que sao negros ate os dias atuais de formas muito violentas e agressivas.   os negros sao a maioria da populacao brasileira. esse nao e apenas um dado demografico, seu significado politico e agudo: enfrentar o racismo estrutural, reparar os mais de 500 anos de discriminacao e garantir a plena participacao dos negros na vida social do pais significa a consolidacao de nossa democracia.   para isso a garantia dos direitos da populacao negra, a manutencao das acoes afirmativas e de promocao da equidade que visem ampliar o acesso a educacao superior e a terra, bem como o fortalecimento de iniciativas empreendedoras e o enfrentamento do racismo precisam continuar e ser aperfeicoadas para que possamos realmente promover a igualdade e a justica em plenitude para todos os brasileiros, independentemente de sua cor, conforme preconiza a nossa constituicao federal."	1606	10	555
126351747376464_2240939642584320	2018-11-18T12:37:56+0000	"ver o trabalho de quem anda pesquisando e registrando a floresta e uma coisa que sempre me emociona, ainda mais se e cantiga de passaro. nasci e me criei no interior da floresta, naquele cantinho da amazonia que e o meu querido estado do acre. sou de uma familia de extratores de latex, seringueiros, que constituem uma categoria muito especial entre as populacoes tradicionais do brasil. ainda muito pequena comecei a aprender, com meu querido e saudoso pai,  pedro agostinho, e com meu tio mateiro, pedro mendes, a cultivar o interesse pelas \"coisas da mata\", como costumavamos dizer.   dentre as muitas curiosidades que tinha, uma era particularmente desafiadora e divertida: dar significado ao canto e ao comportamento dos passaros. gostava de ouvir, no inicio da madrugada o ritmado canto da siricoria repetindo sem parar: \"tres cocos, tres cocos, siricoria nao e pouco, tres cocos, tres cocos... era uma moca do tempo nada refinada, com sua meteorologia cantada de modo estridente pra avisar quando vinha a chuvarada. menos divertido, pelo grave significado que lhes atribuiamos, era a barulheira dos jacus, que comecava com uma dupla, mais perto de casa, quase sussurrando \"ta ruim, ta ruim, ta ruim\", para logo obter resposta nas matas em redor, que estremeciam com uma gritaria como se a passarada estivesse denunciando as injusticas do regime de semiescravidao imposto aos seringueiros pela ambicao dos patroes. entre todas, uma ave que me despertava particular interesse era o pequeno nambu macuco, com seu canto educado e rouco que ecoava la pelas 17 horas nos rumos da vertente de onde se tirava agua para o uso domestico. \"venha ca por favor\", repetia o educado passarinho em tom de suplica. diziam as mas linguas que os mocos o imitavam, em noites de lua clara, em combinacao com as mocas para fugirem da casa de seus pais.   eram muitos os passaros, com tantas cantigas de tantos significados. e agora, quando a sensibilidade desses observadores de passaros me fez voar ao tempo intimo da floresta, voltei tambem a alegria do antigo aprendizado. que esse trabalho prossiga. e preciso preservar o que preserva os passaros, nao devemos correr o risco de desaprender a voar.  *texto inspirado na materia do jornalista jefson dourado sobre observacao dos passaros no acre, no programa via brasil da globonews, transmitido dia 3 de novembro de 2018."	694	0	90
126351747376464_2238280222850262	2018-11-16T17:21:40+0000	"a posicao alarmante do novo chanceler brasileiro sobre mudancas climaticas compromete ainda mais o papel historico de lideranca do brasil nos acordos multilaterais sobre meio ambiente. ao tratar o desafio desse seculo como uma perversao ideologica \"globalista\" ou \"climatismo\", como \"um dogma para justificar o aumento do poder regulador dos estados sobre a economia e o poder das instituicoes internacionais sobre os estados nacionais\", menospreza todas as evidencias e a extensa contribuicao cientifica sobre o assunto. como diz o diplomata rubens ricupero, se o pais seguir nesse caminho, corremos o risco de perder o ultimo ativo internacional que nos restou, o de potencia ambiental."	3617	224	2009
